   s  energy(a.u.)
  -7.438  -1224.724151410  
  -7.408  -1224.724130452  
  -7.378  -1224.724109445  
  -7.348  -1224.724088389  
  -7.318  -1224.724067283  
  -7.288  -1224.724046128  
  -7.258  -1224.724024923  
  -7.228  -1224.724003670  
  -7.198  -1224.723982367  
  -7.168  -1224.723961015  
  -7.139  -1224.723939614  
  -7.109  -1224.723918164  
  -7.079  -1224.723896665  
  -7.049  -1224.723875117  
  -7.019  -1224.723853520  
  -6.989  -1224.723831875  
  -6.959  -1224.723810182  
  -6.929  -1224.723788439  
  -6.899  -1224.723766649  
  -6.869  -1224.723744811  
  -6.839  -1224.723722924  
  -6.809  -1224.723700989  
  -6.779  -1224.723679007  
  -6.749  -1224.723656977  
  -6.719  -1224.723634899  
  -6.689  -1224.723612774  
  -6.659  -1224.723590602  
  -6.629  -1224.723568382  
  -6.599  -1224.723546115  
  -6.569  -1224.723523802  
  -6.539  -1224.723501441  
  -6.509  -1224.723479034  
  -6.479  -1224.723456581  
  -6.449  -1224.723434080  
  -6.419  -1224.723411534  
  -6.389  -1224.723388942  
  -6.359  -1224.723366304  
  -6.329  -1224.723343619  
  -6.299  -1224.723320889  
  -6.269  -1224.723298114  
  -6.239  -1224.723275292  
  -6.209  -1224.723252426  
  -6.179  -1224.723229514  
  -6.149  -1224.723206556  
  -6.119  -1224.723183554  
  -6.089  -1224.723160506  
  -6.059  -1224.723137414  
  -6.029  -1224.723114276  
  -5.999  -1224.723091094  
  -5.969  -1224.723067866  
  -5.939  -1224.723044593  
  -5.909  -1224.723021276  
  -5.879  -1224.722997913  
  -5.849  -1224.722974506  
  -5.819  -1224.722951053  
  -5.789  -1224.722927555  
  -5.759  -1224.722904012  
  -5.729  -1224.722880423  
  -5.699  -1224.722856789  
  -5.669  -1224.722833109  
  -5.639  -1224.722809383  
  -5.609  -1224.722785611  
  -5.579  -1224.722761793  
  -5.549  -1224.722737928  
  -5.519  -1224.722714017  
  -5.489  -1224.722690058  
  -5.459  -1224.722666051  
  -5.429  -1224.722641997  
  -5.399  -1224.722617894  
  -5.369  -1224.722593743  
  -5.339  -1224.722569542  
  -5.309  -1224.722545292  
  -5.279  -1224.722520991  
  -5.249  -1224.722496640  
  -5.219  -1224.722472238  
  -5.189  -1224.722447784  
  -5.159  -1224.722423278  
  -5.129  -1224.722398719  
  -5.099  -1224.722374107  
  -5.069  -1224.722349440  
  -5.039  -1224.722324718  
  -5.009  -1224.722299941  
  -4.979  -1224.722275108  
  -4.949  -1224.722250218  
  -4.919  -1224.722225271  
  -4.889  -1224.722200265  
  -4.859  -1224.722175200  
  -4.829  -1224.722150075  
  -4.799  -1224.722124890  
  -4.769  -1224.722099644  
  -4.739  -1224.722074335  
  -4.709  -1224.722048964  
  -4.679  -1224.722023530  
  -4.649  -1224.721998031  
  -4.619  -1224.721972467  
  -4.589  -1224.721946838  
  -4.559  -1224.721921143  
  -4.529  -1224.721895379  
  -4.499  -1224.721869549  
  -4.469  -1224.721843649  
  -4.439  -1224.721817681  
  -4.409  -1224.721791642  
  -4.379  -1224.721765532  
  -4.349  -1224.721739351  
  -4.319  -1224.721713098  
  -4.289  -1224.721686772  
  -4.259  -1224.721660373  
  -4.229  -1224.721633899  
  -4.199  -1224.721607350  
  -4.169  -1224.721580726  
  -4.139  -1224.721554026  
  -4.109  -1224.721527248  
  -4.079  -1224.721500394  
  -4.049  -1224.721473461  
  -4.019  -1224.721446449  
  -3.989  -1224.721419357  
  -3.959  -1224.721392185  
  -3.929  -1224.721364932  
  -3.899  -1224.721337598  
  -3.869  -1224.721310181  
  -3.839  -1224.721282680  
  -3.809  -1224.721255096  
  -3.779  -1224.721227426  
  -3.749  -1224.721199671  
  -3.719  -1224.721171829  
  -3.689  -1224.721143900  
  -3.659  -1224.721115882  
  -3.629  -1224.721087775  
  -3.599  -1224.721059576  
  -3.569  -1224.721031286  
  -3.539  -1224.721002903  
  -3.509  -1224.720974425  
  -3.479  -1224.720945852  
  -3.449  -1224.720917182  
  -3.419  -1224.720888413  
  -3.389  -1224.720859543  
  -3.359  -1224.720830572  
  -3.329  -1224.720801496  
  -3.299  -1224.720772315  
  -3.269  -1224.720743027  
  -3.239  -1224.720713628  
  -3.209  -1224.720684117  
  -3.179  -1224.720654492  
  -3.149  -1224.720624749  
  -3.119  -1224.720594887  
  -3.089  -1224.720564903  
  -3.059  -1224.720534793  
  -3.029  -1224.720504554  
  -2.999  -1224.720474183  
  -2.969  -1224.720443677  
  -2.939  -1224.720413033  
  -2.909  -1224.720382245  
  -2.879  -1224.720351311  
  -2.849  -1224.720320226  
  -2.819  -1224.720288986  
  -2.789  -1224.720257587  
  -2.759  -1224.720226022  
  -2.729  -1224.720194288  
  -2.699  -1224.720162380  
  -2.669  -1224.720130291  
  -2.639  -1224.720098017  
  -2.609  -1224.720065550  
  -2.579  -1224.720032886  
  -2.549  -1224.720000017  
  -2.519  -1224.719966937  
  -2.489  -1224.719933639  
  -2.459  -1224.719900115  
  -2.429  -1224.719866358  
  -2.399  -1224.719832360  
  -2.369  -1224.719798114  
  -2.339  -1224.719763609  
